No_QR,Nom_QR,No_arr,Nom_arr_Montreal,Nom_mun,Nb_log
"01","Cartierville","23","Ahuntsic-Cartierville","Montréal",10302
"02","Nouveau-Bordeaux","23","Ahuntsic-Cartierville","Montréal",12597
"03","Nicolas-Viel","23","Ahuntsic-Cartierville","Montréal",9092
"04","Sault-au-Récollet","23","Ahuntsic-Cartierville","Montréal",13129
"05","Saint-Sulpice","23","Ahuntsic-Cartierville","Montréal",9793
"06","La Visitation","23","Ahuntsic-Cartierville","Montréal",8720
"07","Sainte-Lucie","25","Villeray–Saint-Michel–Parc-Extension","Montréal",9337
"08","René-Goupil","25","Villeray–Saint-Michel–Parc-Extension","Montréal",4437
"09","Gabriel-Sagard","25","Villeray–Saint-Michel–Parc-Extension","Montréal",10758
"10","François-Perrault","25","Villeray–Saint-Michel–Parc-Extension","Montréal",7259
"11","Parc-Extension","25","Villeray–Saint-Michel–Parc-Extension","Montréal",13158
"12","Parc-Jarry","25","Villeray–Saint-Michel–Parc-Extension","Montréal",8635
"13","Crémazie","25","Villeray–Saint-Michel–Parc-Extension","Montréal",16953
"14","Saint-Édouard","24","Rosemont–La Petite-Patrie","Montréal",10038
"15","Père-Marquette","24","Rosemont–La Petite-Patrie","Montréal",11508
"16","Louis-Hébert","24","Rosemont–La Petite-Patrie","Montréal",8308
"17","Étienne Desmarteaux","24","Rosemont–La Petite-Patrie","Montréal",9404
"18","Vieux-Rosemont","24","Rosemont–La Petite-Patrie","Montréal",15919
"19","Petite-Côte","24","Rosemont–La Petite-Patrie","Montréal",8890
"20","Marie-Victorin","24","Rosemont–La Petite-Patrie","Montréal",15427
"21","Louis-Riel","22","Mercier–Hochelaga-Maisonneuve","Montréal",9959
"22","Dupéré","22","Mercier–Hochelaga-Maisonneuve","Montréal",5430
"23","Tétreaultville","22","Mercier–Hochelaga-Maisonneuve","Montréal",9626
"24","Beaurivage","22","Mercier–Hochelaga-Maisonneuve","Montréal",6949
"25","Guybourg","22","Mercier–Hochelaga-Maisonneuve","Montréal",1776
"26","Longue-Pointe","22","Mercier–Hochelaga-Maisonneuve","Montréal",10494
"27","Hochelaga","22","Mercier–Hochelaga-Maisonneuve","Montréal",6520
"28","Maisonneuve","22","Mercier–Hochelaga-Maisonneuve","Montréal",11907
"29","Préfontaine","22","Mercier–Hochelaga-Maisonneuve","Montréal",9714
"30","Sainte-Marie","19","Ville-Marie","Montréal",20510
"31","Lorimier","21","Le Plateau-Mont-Royal","Montréal",11769
"32","Parc-Lafontaine","21","Le Plateau-Mont-Royal","Montréal",9834
"33","Parc-Laurier","21","Le Plateau-Mont-Royal","Montréal",11165
"34","Mile End","21","Le Plateau-Mont-Royal","Montréal",13842
"35","Saint-Louis","21","Le Plateau-Mont-Royal","Montréal",9195
"36","Milton-Parc","21","Le Plateau-Mont-Royal","Montréal",9704
"37","Vieux-Montréal","19","Ville-Marie","Montréal",8354
"38","René-Lévesque","19","Ville-Marie","Montréal",15959
"39","Montagne","19","Ville-Marie","Montréal",19484
"40","Snowdon","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",10857
"41","Édouard-Montpetit","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12172
"42","Parc-Kent","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",13478
"43","Savane","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",13169
"44","Upper Lachine","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",11792
"45","Loyola","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12541
"46","Côte-Saint-Antoine","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",10104
"47","Pointe-Saint-Charles","20","Le Sud-Ouest","Montréal",8300
"48","Côte-Saint-Paul","20","Le Sud-Ouest","Montréal",8909
"49","Ville-Émard","20","Le Sud-Ouest","Montréal",6973
"50","Saint-Henri","20","Le Sud-Ouest","Montréal",9980
"51","Petite-Bourgogne","20","Le Sud-Ouest","Montréal",9355
"52","Marc-Aurèle-Fortin","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",14543
"53","Rivière-des-Prairies","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",7216
"54","Pointe-aux-Trembles","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",22841
"55","Chameran/Montpellier","15","Saint-Laurent","Montréal",9524
"56","Grenet","15","Saint-Laurent","Montréal",4758
"57","Dutrisac","15","Saint-Laurent","Montréal",4276
"58","Bois-Francs","15","Saint-Laurent","Montréal",13560
"59","Du College/Hodge","15","Saint-Laurent","Montréal",9432
"60A","Ouest","16","Montréal-Nord","Montréal",10979
"60B","Centre-Nord","16","Montréal-Nord","Montréal",5700
"60C","Centre","16","Montréal-Nord","Montréal",8546
"61","Est","16","Montréal-Nord","Montréal",14230
"62","Port-Maurice","14","Saint-Léonard","Montréal",18435
"63","Grande-Prairie","14","Saint-Léonard","Montréal",14638
"64","Verdun-Centre","12","Verdun","Montréal",17106
"65","Ile-des-Soeurs","12","Verdun","Montréal",10802
"66","Desmarchais-Crawford","12","Verdun","Montréal",9288
"67","Cecil-P.-Newman","17","LaSalle","Montréal",15734
"68","Sault-Saint-Louis","17","LaSalle","Montréal",22076
"69","Lachine-Ouest","27","Lachine","Montréal",7242
"70","Vieux-Lachine - Saint-Pierre","27","Lachine","Montréal",15065
"71","Pierrefonds-Ouest","31","Pierrefonds-Roxboro","Montréal",11068
"72","Pierrefonds-Est","31","Pierrefonds-Roxboro","Montréal",15234
"73","Anjou","09","Anjou","Montréal",20127
"74","Outremont","05","Outremont","Montréal",10309
"75","L'Île-Bizard–Sainte-Geneviève","32","L'Île-Bizard–Sainte-Geneviève","Montréal",7190
"80","Montréal-Est","","","Montréal-Est",1862
"81","Westmount","","","Westmount",9108
"82","Hampstead","","","Hampstead",2655
"83","Côte-Saint-Luc","","","Côte-Saint-Luc",14954
"84","Montréal-Ouest","","","Montréal-Ouest",1998
"85","Dorval","","","Dorval",8983
"86","Pointe-Claire","","","Pointe-Claire",13446
"87","Beaconsfield","","","Beaconsfield",6972
"88","Baie-D'Urfé","","","Baie-D'Urfé",1435
"89","Dollard-Des Ormeaux","","","Dollard-Des Ormeaux",17743
"90","Kirkland","","","Kirkland",7003
"91","Sainte-Anne-de-Bellevue","","","Sainte-Anne-de-Bellevue",2144
"92","Senneville","","","Senneville",363
"93","Mont-Royal","","","Mont-Royal",8137
